Standard,Frequency(Hz),Channel BW(Hz),Data Rate/MCS Index,Frame Format,Payload Length,Power Level,# Packets Transmitted,#Packets Received,PER(%),Measurment Time(min)
802.11 A/G OFDM,2442000000,20000000,6Mbps,OFDM,134,-81,200,193,3.5,
802.11 A/G OFDM,2442000000,20000000,6Mbps,OFDM,134,-81,200,193,3.5,
802.11 A/G OFDM,2442000000,20000000,6Mbps,OFDM,134,-82,200,200,0,
802.11 A/G OFDM,2442000000,20000000,6Mbps,OFDM,134,-83,200,187,6.5,
802.11 A/G OFDM,2442000000,20000000,6Mbps,OFDM,134,-84,200,192,4,
802.11 A/G OFDM,2442000000,20000000,6Mbps,OFDM,134,-85,200,197,1.5,
802.11 A/G OFDM,2442000000,20000000,6Mbps,OFDM,134,-86,200,190,5,
802.11 A/G OFDM,2442000000,20000000,6Mbps,OFDM,134,-87,200,192,4,
802.11 A/G OFDM,2442000000,20000000,6Mbps,OFDM,134,-88,200,200,0,
802.11 A/G OFDM,2442000000,20000000,6Mbps,OFDM,134,-89,200,199,0.5,
802.11 A/G OFDM,2442000000,20000000,6Mbps,OFDM,134,-90,200,192,4,
802.11 A/G OFDM,2442000000,20000000,6Mbps,OFDM,134,-91,200,192,4,
802.11 A/G OFDM,2442000000,20000000,6Mbps,OFDM,134,-92,200,182,9,
802.11 A/G OFDM,2442000000,20000000,6Mbps,OFDM,134,-93,200,154,23,
802.11 A/G OFDM,2442000000,20000000,6Mbps,OFDM,134,-94,200,78,61,
802.11 A/G OFDM,2442000000,20000000,6Mbps,OFDM,134,-95,200,11,94.5,
802.11 A/G OFDM,2442000000,20000000,6Mbps,OFDM,134,-96,200,0,100,
802.11 A/G OFDM,2442000000,20000000,6Mbps,OFDM,134,-97,200,0,100,
802.11 A/G OFDM,2442000000,20000000,6Mbps,OFDM,134,-98,200,0,100,
802.11 A/G OFDM,2442000000,20000000,6Mbps,OFDM,134,-99,200,0,100,
802.11 A/G OFDM,2442000000,20000000,6Mbps,OFDM,134,-100,200,0,100,
802.11 A/G OFDM,2447000000,20000000,6Mbps,OFDM,134,-15,200,198,1,0.04605
802.11 A/G OFDM,2447000000,20000000,6Mbps,OFDM,134,-16,200,197,1.5,
